CIK,CompanyName
1118974.0,30DC INC
1556753.0,3D PIONEER SYSTEMS INC
1085621.0,ACTUA CORP
1119691.0,ADEXA INC
1407847.0,ADVANT-E CORP
869531.0,ADVANTEGO CORP
1389217.0,ALLDIGITAL HOLDINGS INC
1085069.0,AMERICAN SECURITY RES CORP
873198.0,APPLIED VISUAL SCIENCES INC
1543739.0,APT SYSTEMS INC
1348334.0,BARRACUDA NETWORKS INC
849547.0,BLACK BOX CORP
1345423.0,BOX INC
1449574.0,BRAVATEK SOLUTIONS INC
1341878.0,B-SCADA INC
1088316.0,BUSYBOX.COM INC
1124887.0,CERIDIAN CORP
786620.0,CIMETRIX INC
1582589.0,CLONE ALGO TECHNOLOGIES INC
1613011.0,CODE REBEL CORP
1103759.0,COM GUARD.COM INC
1522787.0,CYBERFORT SOFTWARE INC
1133598.0,DEALERADVANCE INC
1487906.0,DIGILITI MONEY GROUP INC
1089443.0,DIGIMARC CORP
1540400.0,E2OPEN INC
1088242.0,ELASTIC NETWORKS INC
900096.0,ELCOM INTERNATIONAL INC
813747.0,ENTERPRISE INFORMATICS INC
943894.0,EZENIA INC
1653115.0,FANTASY ACES DAILY FANTASY
1451951.0,FRIENDFINDER NETWORKS INC
1020475.0,GRANDPARENTS.COM INC
1159464.0,GREEN POLKADOT BOX INC
1031905.0,IBSG INTERNATIONAL INC
714278.0,INFORMATION RESOURCES INC
1040863.0,INTEGRATED BUSINESS SYS &SVC
1285170.0,INTERMAP TECHNOLOGIES CORP
1470550.0,INTERNATIONAL LEADERS CAP CO
1455926.0,IRONCLAD ENCRYPTION CORP
1716726.0,ISOCIALY INC
1397183.0,IVEDA SOLUTIONS INC
1006892.0,JDA SOFTWARE GROUP INC
838796.0,KIWIBOX COM INC
886903.0,KRONOS INC
1141517.0,LAWSON SOFTWARE INC
1473654.0,LEVELBLOX INC
1562594.0,LIQUID HOLDINGS GROUP INC
1067710.0,MAIL BOXES ETC
1423746.0,MONSTER ARTS
1022701.0,NEOMEDIA TECHNOLOGIES INC
1031980.0,NOTIFY TECHNOLOGY CORP
1020579.0,OMTOOL LTD
777676.0,ORACLE CORP
879703.0,PAYBOX CORP
1603498.0,PHUNWARE INC
1124217.0,PRIMAL SOLUTIONS INC
1583138.0,PULSE EVOLUTION CORP
1384365.0,RAADR INC
852437.0,RAND WORLDWIDE INC
1506270.0,RIGHTSCORP INC
1158019.0,SCIENT INC
846775.0,SIMTROL INC
1157817.0,SITO MOBILE LTD
909687.0,SKYBOX INTL INC
354260.0,SOFTECH INC
1501919.0,SSI INVESTMENTS II LTD
1210634.0,SYNACOR INC
1353536.0,TELENAV INC
1085280.0,TIBCO SOFTWARE INC
1554875.0,TINTRI INC
939652.0,TMM INC
1016125.0,ULTIMATE SOFTWARE GROUP INC
835270.0,UNITRONIX CORP
1499355.0,VDO-PH INTERNATIONAL INC
1099509.0,VERTICAL COMPUTER SYS INC
1479000.0,VIVA ENTERTAINMENT GROUP INC
1827032.0,VOYAGER DIGITAL LTD
1100981.0,VUBOTICS INC
1465509.0,XCELMOBILITY INC
1511735.0,YAPPN CORP
822708.0,ZOOM TELEPHONICS INC
1541054.0,ZOOMAWAY TRAVEL INC
