CompanyName,CIK
2U INC,1459417
30DC INC,1118974
3D PIONEER SYSTEMS INC,1556753
8X8 INC,1023731
A10 NETWORKS INC,1580808
ACI WORLDWIDE INC,935036
ACTUA CORP,1085621
ADEXA INC,1119691
ADOBE INC,796343
ADVANCED VOICE RECOGNITION,1342936
ADVANT-E CORP,1407847
ADVANTEGO CORP,869531
AGILYSYS INC,78749
ALARM.COM HOLDINGS INC,1459200
ALLDIGITAL HOLDINGS INC,1389217
ALTAIR ENGINEERING INC,1701732
ALTERYX INC,1689923
AMERICAN SECURITY RES CORP,1085069
AMERICAN SOFTWARE  -CL A,713425
ANAPLAN INC,1540755
ANSYS INC,1013462
APPFOLIO INC,1433195
APPIAN CORP,1441683
APPLIED VISUAL SCIENCES INC,873198
APT SYSTEMS INC,1543739
ASANA INC,1477720
ASPEN TECHNOLOGY INC,929940
ASURE SOFTWARE INC,884144
AUDIOEYE INC,1362190
AUTODESK INC,769397
AUTOMATIC DATA PROCESSING,8670
AVALARA INC,1348036
AVAYA HLDGS CORP,1418100
AWARE INC,1015739
BARRACUDA NETWORKS INC,1348334
BENEFITFOCUS INC,1576169
BENTLEY SYSTEMS INC,1031308
BIGCOMMERCE HOLDIN INC,1626450
BILL.COM HOLDINGS INC,1786352
BIO-KEY INTERNATIONAL INC,1019034
BLACK BOX CORP,849547
BLACKBAUD INC,1280058
BLACKBOXSTOCKS INC,1567900
BLACKLINE INC,1666134
BLAQCLOUDS INC,
BOTTOMLINE TECHNOLOGIES INC,1073349
BOX INC,1345423
BOXLIGHT CORP,1624512
BRAVATEK SOLUTIONS INC,1449574
BRIDGELINE DIGITAL INC,1378590
BRIDGEWAY NATIONAL CORP,1567771
B-SCADA INC,1341878
BSQUARE CORP,1054721
BUSYBOX.COM INC,1088316
CADENCE DESIGN SYSTEMS INC,813672
CDK GLOBAL INC,1609702
CERENCE INC,1768267
CERIDIAN CORP,1124887
CERIDIAN HCM HOLDING,1725057
CHANGSHENG INTERNATIONAL GRO,1451797
CHANNELADVISOR CORP,1169652
CHINA YANYUN YHU NTL ED GRP,
CICERO INC,945384
CIMETRIX INC,786620
CIPHERLOC CORP,1022505
CITRIX SYSTEMS INC,877890
CLEANSPARK INC,827876
CLICKSTREAM CORP,1393548
CLONE ALGO TECHNOLOGIES INC,1582589
CLOUDERA INC,1535379
CLOUDFLARE INC,1477333
CLOUDWARD INC,
CODE REBEL CORP,1613011
COM GUARD.COM INC,1103759
COMMVAULT SYSTEMS INC,1169561
CORNERSTONE ONDEMAND INC,1401680
COUPA SOFTWARE INC,1385867
CROWDSTRIKE HOLDINGS INC,1535527
CYBERFORT SOFTWARE INC,1522787
CYREN LTD,1084577
DATADOG INC,1561550
DATTO HOLDING CORP,1724570
DEALERADVANCE INC,1133598
DIGILITI MONEY GROUP INC,1487906
DIGIMARC CORP,1089443
DIGITAL TURBINE INC,317788
DOCUSIGN INC,1261333
DOMO INC,1505952
DROPBOX INC,1467623
DUCK CREEK TECHNOL INC,1160951
DYNATRACE INC,1773383
E2OPEN INC,1540400
EBIX INC,814549
ECOARK HOLDINGS INC,1437491
EGAIN CORP,1066194
ELASTIC NETWORKS INC,1088242
ELASTIC NV,1707753
ELCOM INTERNATIONAL INC,900096
ENTERPRISE INFORMATICS INC,813747
ENVESTNET INC,1337619
EVERBRIDGE INC,1437352
EVOLVING SYSTEMS INC,1052054
EZENIA INC,943894
FAIR ISAAC CORP,814547
FALCONSTOR SOFTWARE INC,922521
