CIK,CompanyName
1459417,2U INC
1023731,8X8 INC
1580808,A10 NETWORKS INC
935036,ACI WORLDWIDE INC
796343,ADOBE INC
1342936,ADVANCED VOICE RECOGNITION
78749,AGILYSYS INC
1459200,ALARM.COM HOLDINGS INC
1701732,ALTAIR ENGINEERING INC
1689923,ALTERYX INC
713425,AMERICAN SOFTWARE  -CL A
1540755,ANAPLAN INC
1013462,ANSYS INC
1433195,APPFOLIO INC
1441683,APPIAN CORP
1477720,ASANA INC
929940,ASPEN TECHNOLOGY INC
884144,ASURE SOFTWARE INC
1362190,AUDIOEYE INC
769397,AUTODESK INC
8670,AUTOMATIC DATA PROCESSING
1348036,AVALARA INC
1418100,AVAYA HLDGS CORP
1015739,AWARE INC
1576169,BENEFITFOCUS INC
1031308,BENTLEY SYSTEMS INC
1626450,BIGCOMMERCE HOLDIN INC
1786352,BILL.COM HOLDINGS INC
1019034,BIO-KEY INTERNATIONAL INC
1280058,BLACKBAUD INC
1567900,BLACKBOXSTOCKS INC
1666134,BLACKLINE INC
1073349,BOTTOMLINE TECHNOLOGIES INC
1624512,BOXLIGHT CORP
1378590,BRIDGELINE DIGITAL INC
1567771,BRIDGEWAY NATIONAL CORP
1054721,BSQUARE CORP
813672,CADENCE DESIGN SYSTEMS INC
1609702,CDK GLOBAL INC
1768267,CERENCE INC
1725057,CERIDIAN HCM HOLDING
1451797,CHANGSHENG INTERNATIONAL GRO
1169652,CHANNELADVISOR CORP
945384,CICERO INC
1022505,CIPHERLOC CORP
877890,CITRIX SYSTEMS INC
827876,CLEANSPARK INC
1393548,CLICKSTREAM CORP
1535379,CLOUDERA INC
1477333,CLOUDFLARE INC
1169561,COMMVAULT SYSTEMS INC
1401680,CORNERSTONE ONDEMAND INC
1385867,COUPA SOFTWARE INC
1535527,CROWDSTRIKE HOLDINGS INC
1084577,CYREN LTD
1561550,DATADOG INC
1724570,DATTO HOLDING CORP
317788,DIGITAL TURBINE INC
1261333,DOCUSIGN INC
1505952,DOMO INC
1467623,DROPBOX INC
1160951,DUCK CREEK TECHNOL INC
1773383,DYNATRACE INC
814549,EBIX INC
1437491,ECOARK HOLDINGS INC
1066194,EGAIN CORP
1707753,ELASTIC NV
1337619,ENVESTNET INC
1437352,EVERBRIDGE INC
1052054,EVOLVING SYSTEMS INC
814547,FAIR ISAAC CORP
922521,FALCONSTOR SOFTWARE INC
