,rider_provider,CashAndCashEquivalents,MarketableSecurities,TotalCurrentAssets,TotalAssets,PropertyAndEquipmentNet,Goodwill,TotalCurrentLiabilities,SharesOutstanding,TotalStockholdersEquity,TotalEquity,GrossProfit,TotalOperatingExpenses,NetIncome,GrossPropertyAndEquipment,StockPrice,SalesAndMarketing,TotalDebt,Revenues,CostOfSales,OperatingIncome,NetLoss,RecurringRevenue,ARR,GAAPRevenue,NonGAAPEarnings,MRR,FilingDate,DocURL
1,1459417_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,https://www.sec.gov/Archives/edgar/data/1459417/000145941721000003/twou-20201231.htm
1,1459417_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-28,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/a2u201910-k.htm
1,1023731_2021,112531000.0,48533000.0,276533000.0,678409000.0,93076000.0,131520000.0,121378000.0,109134740.0,755643000.0,678409000.0,83606000.0,678493000.0,-45034000.0,185449000.0,29.07,256231000.0,,532344000.0,180082000.0,-40036000.0,,,-45034000.0,,,,2021-05-17,https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/eght-20210331.htm
1,1023731_2020,137394000.0,48829000.0,277162000.0,700641000.0,94382000.0,128300000.0,123425000.0,,625474000.0,700641000.0,63857000.0,606056000.0,-34265000.0,168352000.0,,240013000.0,,446237000.0,145013000.0,-32553000.0,,,-34265000.0,,,,2020-05-19,https://www.sec.gov/Archives/edgar/data/1023731/000102373120000049/a8x8331202010-k.htm
1,1580808_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-08,https://www.sec.gov/Archives/edgar/data/1580808/000158080821000043/aten-20201231.htm
1,935036_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,https://www.sec.gov/Archives/edgar/data/935036/000093503621000014/aciw-20201231.htm
1,935036_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-27,https://www.sec.gov/Archives/edgar/data/935036/000093503620000009/aciw-20191231x10k.htm
1,796343_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm
1,796343_2020,,,,,,,,,,,,,,,,,1886117000.0,,,,,,,,,,2020-01-21,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm
1,1342936_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-31,https://www.sec.gov/Archives/edgar/data/1342936/000137647421000115/avoi-20201231.htm
1,1342936_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30,https://www.sec.gov/Archives/edgar/data/1342936/000134293620000011/avoi-20191231.htm
1,78749_2021,99180000.0,,133250000.0,189873000.0,8789000.0,19622000.0,61001000.0,,79876000.0,189873000.0,89376000.0,,-21001000.0,39097000.0,,14196000.0,,137176000.0,47800000.0,-20958000.0,,,-21001000.0,,,,2021-05-21,https://www.sec.gov/Archives/edgar/data/78749/000156459021029319/agys-10k_20210331.htm
1,1459200_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,https://www.sec.gov/Archives/edgar/data/1459200/000145920021000012/alrm-20201231.htm
1,1459200_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-26,https://www.sec.gov/Archives/edgar/data/1459200/000145920020000005/alarmcom10-kdecember31.htm
1,1701732_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-26,https://www.sec.gov/Archives/edgar/data/1701732/000156459021009427/altr-10k_20201231.htm
1,1701732_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-02,https://www.sec.gov/Archives/edgar/data/1701732/000156459020008059/altr-10k_20191231.htm
1,1689923_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-12,https://www.sec.gov/Archives/edgar/data/1689923/000168992321000024/ayx-20201231.htm
1,1689923_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-14,https://www.sec.gov/Archives/edgar/data/1689923/000168992320000006/ayx1231201910-k.htm
1,713425_2021,88658000.0,,136623000.0,177157000.0,3428000.0,25888000.0,50664000.0,35629566.0,159492000.0,177157000.0,60980000.0,56619000.0,8089000.0,34009000.0,,20304000.0,,111408000.0,50428000.0,18922000.0,,,8089000.0,,,,2021-07-09,https://www.sec.gov/Archives/edgar/data/713425/000162828021013701/amswa-20210430.htm
1,1540755_2021,320990000.0,,529044000.0,739125000.0,51603000.0,32379000.0,405185000.0,143502000.0,932505000.0,739125000.0,338776000.0,492555000.0,-153967000.0,120702000.0,,302002000.0,,,108979000.0,-153779000.0,,,-153967000.0,,,,2021-03-12,https://www.sec.gov/Archives/edgar/data/1540755/000156459021012868/plan-10k_20210131.htm
