cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label,aggregate,predicted_aggregate
1459417_2019,865736136.2643442,0.7097628343119835,1.673236980135168,-0.339064057040661,0.130246145957128,-70.75359213649438,-1.800098381548365,209348403.18202248,42770580833.637215,12.670998565637094,-0.0,-0.0,-0.0,-0.0,1525022924.9099998,-36944.50041642795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15388614
1459417_2020,865736136.2643442,0.7097628343119835,2.548277154978114,-2.9879841998072063,0.1441593271848092,-13.390298383298534,-13.147541501323351,209348403.18202248,42770580833.637215,12.670998565637094,9.043796975039436,904.3796975039436,904.3796975039436,1808.7593950078872,2898785355.21,-36944.50041642795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3076923076923077,0.4187963
1459417_2021,865736136.2643442,0.7097628343119835,1.1809407298797328,-2.5710100512228533,0.19215350293957,-7.806270531869012,-11.221644269394131,209348403.18202248,42770580833.637215,12.670998565637094,-0.1003215018199959,-10.032150181999594,-10.032150181999594,-20.064300363999187,1520396086.41,-36944.50041642795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.0774132
1023731_2019,245394000.0,0.6959833912860975,5.319469914998996,0.121993483804309,0.147361963432219,165.58261449769742,2.3130531868097184,-90988000.0,42770580833.637215,12.670998565637094,0.0,0.0,0.0,0.0,1941621737.6,0.1093924919770132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23080128
1023731_2020,301224000.0,0.6750314294870214,2.245590439538181,-1.6705786366344244,0.1973303446666048,-8.296526542397661,-27.557980027946805,-159819000.0,42770580833.637215,12.670998565637094,-15.69964182159304,-1569.964182159304,-1569.964182159304,-3139.928364318608,1430055687.06,-1.6080304500335847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.16185665
1023731_2021,352262000.0,0.6617187382594714,2.2782794246074247,-1.5172528930751106,0.160628762524102,-19.159627332185888,-21.913125642664596,-146149000.0,42770580833.637215,12.670998565637094,-0.0393518518518518,-3.935185185185185,-3.935185185185185,-7.87037037037037,3172546891.8,-1.141863143304393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.21152154
1580808_2020,175379000.0,0.7776408146252999,2.248125811838931,0.2333586566421292,0.2532817589193813,42.25255725190839,4.186739484976524,67881000.0,42770580833.637215,12.670998565637094,0.0,0.0,0.0,0.0,752771560.0,0.3552684055196618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.25432217
1580808_2021,196537000.0,0.7860159493205141,2.446646853598656,1.2255660462653215,0.260259845079422,13.528442673917397,21.273442667055274,86893000.0,42770580833.637215,12.670998565637094,4.325942972608891,432.59429726088905,432.59429726088905,865.1885945217781,1283673339.9999998,1.8921392677674085,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6153846153846154,0.5944821
935036_2019,865736136.2643442,0.7097628343119835,1.504005229185391,0.5781887165483056,0.5415640088922872,65.52358929826131,5.934858332271356,209348403.18202248,42770580833.637215,12.670998565637094,0.0,0.0,0.0,0.0,4394142945.52,-36944.50041642795,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.38461538461538464,0.3278039
935036_2020,865736136.2643442,0.7097628343119835,1.2752955206740246,0.6204307433936102,0.7505447137693861,61.94083773121388,6.021894634248221,209348403.18202248,42770580833.637215,12.670998565637094,0.0834749932897915,8.347499328979154,8.347499328979154,16.69499865795831,4500621269.55,-36944.50041642795,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3076923076923077,0.30778182
935036_2021,865736136.2643442,0.7097628343119835,1.24302563796567,1.1042162724103644,0.6058555066489821,31.425003296006764,10.26617619059478,209348403.18202248,42770580833.637215,12.670998565637094,0.7587530966143683,75.87530966143683,75.87530966143683,151.75061932287366,4015832596.2,-36944.50041642795,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6153846153846154,0.5270092
796343_2019,865736136.2643442,0.7097628343119835,0.7929403201440421,6.119053197025329,0.5523757462119389,50.5846231489657,19.903872000535184,209348403.18202248,163362848670.0,12.670998565637094,0.0,0.0,0.0,0.0,149298390670.0,-36944.50041642795,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.46153846153846156,0.46153876
